Make,Model,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
25,170,7400000,2019,1500,0,0.0019990039980079958,180,1
43,214,1065000,2019,660,0,0.067999135998272,97,1
1,17,9300000,2015,1800,1,0.06999913999828,97,1
61,32,2375000,2014,1500,0,0.09989919979839959,66,1
25,86,2600000,2017,1300,1,0.05499910999821999,66,0
14,162,1110000,2011,660,0,0.13599927199854397,80,0
61,96,2500000,2017,1300,1,0.07999915999832,97,1
59,105,1130000,2012,1000,1,0.05099910199820399,97,0
61,243,1760000,2014,1000,0,0.08199916399832799,66,1
61,259,2500000,2011,1800,0,0.12139924279848559,80,1
61,362,1950000,2017,1000,0,0.12999925999851997,97,1
25,86,2440000,2017,1300,1,0.016999033998067993,66,0
61,49,1400000,2006,1300,0,0.00014900029800059598,97,1
25,87,1100000,2001,1600,1,0.15499930999861997,97,1
61,163,3500000,2011,3000,0,0.19999939999879998,80,1
61,96,1350000,2008,1300,1,0.14919929839859677,97,0
59,105,1700000,2017,1000,1,0.04499908999817999,80,0
61,256,1750000,2005,1800,0,0.148999297998596,66,1
25,87,1630000,2007,1800,1,0.10499920999842,97,1
61,96,1160000,2005,1300,1,0.2975315950631901,97,0
61,243,1050000,2006,1000,0,0.07999915999832,80,1
61,362,1800000,2011,1000,0,0.08499916999834,97,1
59,54,780000,2015,800,0,0.04999909999819999,97,0
61,259,2500000,2011,1800,0,0.07069914139828279,80,1
38,159,5485000,2021,1500,1,4.000008000016e-06,180,1
38,159,1725000,2021,1500,0,4.000008000016e-06,180,1
35,316,5250000,2021,2000,1,4.000008000016e-06,180,1
38,159,1725000,2021,1500,1,4.000008000016e-06,180,1
38,159,6100000,2021,1500,0,9.000018000036e-06,180,1
25,87,1200000,2005,1500,1,0.117999235998472,80,1
38,383,4135000,2021,1500,0,9.000018000036e-06,180,1
61,96,1875000,2019,1600,1,0.05499910999821999,97,1
25,358,1675000,2014,1500,0,0.04499908999817999,97,1
61,380,1575000,2021,1500,1,0.001499002998005996,97,1
27,120,2625000,2021,1300,0,4.9000098000195997e-05,97,1
14,216,1285000,2011,660,0,0.08199916399832799,97,1
35,316,5300000,2021,2000,1,0.006999013998027995,80,1
25,86,2600000,2021,1300,1,0.00048300096600193196,180,0
25,87,3760000,2018,1800,1,0.03799907599815199,80,1
25,87,1800000,2011,1800,1,0.19999939999879998,97,1
61,96,1500000,2013,1300,1,0.09499918999837999,97,0
59,105,1100000,2014,1000,1,0.04999909999819999,80,0
61,96,1600000,2009,1300,1,0.14999929999859998,43,0
61,163,1725000,2021,2800,1,4.000008000016e-06,180,1
61,96,3540000,2019,1600,1,0.019999039998079993,180,1
59,105,955000,2015,1000,1,0.09499918999837999,80,0
61,96,3420000,2019,1600,1,0.05399910799821599,97,1
59,105,1095000,2014,1000,1,0.09499918999837999,97,0
59,210,1025000,2018,800,1,0.04849909699819399,97,0
27,120,4500000,2021,2000,1,4.9000098000195997e-05,180,1
25,87,1725000,2018,1800,1,0.062999125998252,66,1
14,56,2200000,2016,1000,0,0.117999235998472,97,1
25,86,1730000,2013,1300,1,0.117999235998472,80,0
61,303,3979999,2015,1500,0,0.095999191998384,180,1
61,96,2720000,2015,1600,1,0.07799915599831199,66,1
61,96,1755000,2011,1300,1,0.26499952999906,80,0
59,185,950000,2007,660,0,0.16999933999867997,97,1
59,210,340000,2006,800,1,0.19999939999879998,80,0
36,282,4700000,2004,2500,1,0.06999913999828,180,0
25,87,3000000,2015,1800,1,0.091999183998368,97,1
61,326,6000000,2002,3400,1,0.09899919799839599,80,1
14,216,1650000,2016,660,0,0.08000016000032,80,1
61,96,3500000,2015,1500,0,0.05000010000019999,80,1
61,259,2400000,2010,1800,0,0.13449926899853798,80,1
61,163,2300000,1997,3000,1,0.19200038400076797,80,0
25,358,4550000,2016,1500,0,0.03199906399812799,180,1
61,362,2925000,2018,1000,0,0.024999049998099994,180,1
59,186,380000,1995,1000,1,0.0999991999984,66,0
61,362,2225000,2015,1000,0,0.05199910399820799,97,1
59,105,685000,2007,1000,1,0.0999991999984,97,0
61,141,6650000,2016,2700,1,0.07999915999832,97,1
25,87,1875000,2009,1800,1,0.18599937199874397,66,1
61,96,2900000,2017,1600,1,0.063999127998256,80,1
59,54,390000,2004,800,1,0.0999991999984,97,0
59,31,1375000,2013,660,0,0.07399914799829599,80,1
42,50,11299999,2018,1600,1,0.023999047998095994,66,1
25,86,2475000,2018,1300,1,0.02999905999811999,97,1
14,216,2150000,2017,660,0,0.024999049998099994,180,1
61,32,1725000,2017,1500,0,0.04499908999817999,180,1
61,96,3250000,2017,1600,1,0.06499912999825999,80,1
61,96,2050000,2015,1300,1,0.04499908999817999,80,0
61,362,2675000,2017,1300,0,0.04499908999817999,180,1
61,193,24500000,2012,4600,0,0.0749991499983,66,1
61,32,2600000,2014,1500,0,0.12399924799849599,66,1
6,30,2950000,2021,1500,1,0.0,180,1
25,86,1895000,2013,1300,1,0.000138000276000552,97,0
25,358,4500000,2016,1500,0,0.06200012400024799,97,1
61,193,15900000,2008,4600,0,0.08499916999834,97,1
14,162,1300000,2013,660,0,0.13500027000054,180,1
61,362,2000000,2014,1000,0,0.094000188000376,80,1
59,361,4200000,2019,1600,1,0.015999031998063993,80,1
61,141,1725000,2021,2800,1,1.9000038000075997e-05,180,1
25,45,1725000,2021,1500,1,1.9000038000075997e-05,180,1
38,159,1725000,2021,1500,0,4.000008000016e-06,180,1
61,163,1725000,2017,3000,1,0.05026210052420104,80,1
25,87,4395000,2020,1800,1,0.02699905399810799,66,1
61,27,2170000,2006,1500,0,0.12899925799851597,80,1
59,209,2300000,2019,1500,1,8.900017800035599e-05,80,0
59,54,750000,2015,800,1,0.06899913799827599,119,0
14,221,2150000,2018,660,0,0.019999039998079993,180,1
25,87,3800000,2018,1800,1,0.023999047998095994,66,1
61,259,3025000,2014,1800,0,0.15999931999863998,66,1
25,358,4000000,2015,1500,1,0.062999125998252,66,1
61,96,2350000,2015,1300,1,0.20699941399882796,43,0
61,362,2800000,2017,1000,0,0.01677803355606711,180,1
61,362,1400000,2009,1000,0,0.087999175998352,80,1
61,96,2450000,2012,1600,1,0.10999921999843999,66,1
59,210,970000,2018,800,1,0.06499912999825999,66,0
14,106,645000,2006,800,1,0.12799925599851197,66,0
25,87,1045000,2001,1600,1,0.24999949999899998,66,0
61,255,23500000,2017,2700,0,0.018999037998075993,180,1
59,364,2050000,2018,660,1,0.014999029998059995,180,1
61,256,3050000,2007,1800,0,0.07959915919831839,66,1
38,159,6325000,2021,1500,1,9.000018000036e-06,180,1
61,255,12700000,2011,2700,0,0.06899913799827599,66,1
61,141,10700000,2021,2800,1,0.0,180,1
61,362,2590000,2017,1000,0,0.06099912199824399,180,1
14,216,2315000,2017,660,0,0.006999013998027995,180,1
59,54,950000,2015,800,1,0.0999991999984,97,0
61,193,6700000,2005,4200,0,0.12799925599851197,80,1
25,87,3275000,2016,1800,1,0.028949057898115794,66,1
61,96,3875000,2018,1800,0,0.04099908199816399,66,1
61,96,3150000,2020,1500,1,0.004899009798019596,53,1
61,96,3379999,2018,1600,1,0.04999909999819999,66,1
61,255,19000000,2015,2700,0,0.03099906199812399,180,1
25,87,2350000,2013,1800,1,0.05649911299822599,97,1
61,141,8600000,2018,2700,1,0.009499018998037996,80,1
61,259,3000000,2013,1800,0,0.16199932399864797,66,1
61,96,4000000,2021,1600,1,0.004999009998019996,180,1
61,207,2650000,2005,2500,0,0.15999931999863998,97,1
59,327,1630000,2014,1300,1,0.067999135998272,80,1
59,210,1160000,2019,800,1,0.015999031998063993,97,0
25,45,3150000,2018,1500,1,0.021999043998087994,66,1
59,277,620000,2014,800,1,0.0749991499983,80,0
59,364,1625000,2018,1000,1,0.034999069998139995,97,0
25,86,1565000,2007,1300,1,0.08999917999835999,97,1
61,96,900000,1993,1300,1,0.06142212284424568,80,0
61,96,1695000,2014,1300,1,0.0999991999984,97,0
25,87,2300000,2012,1800,1,0.0999991999984,66,1
25,87,1080000,2004,1600,1,0.14999929999859998,97,0
59,210,490000,2006,800,1,0.04999909999819999,119,0
25,136,2500000,2015,1500,0,0.12599925199850398,66,1
59,31,830000,2008,1000,1,0.19999939999879998,66,0
61,96,1900000,2010,1800,1,0.08499916999834,66,0
61,163,7700000,2019,2800,1,0.034999069998139995,66,1
27,294,680000,2003,1000,1,0.092999185998372,97,0
25,358,5600000,2018,1500,0,0.04199908399816799,180,1
61,32,2900000,2014,1500,1,0.05999911999823999,80,1
59,105,1125000,2011,1000,1,0.063999127998256,97,0
43,215,1495000,2015,660,0,0.04539809079618159,180,1
61,193,2400000,2005,4700,0,0.148999297998596,180,1
59,31,1380000,2013,660,0,0.0999991999984,66,1
